pokedex_id,species_name,name,generation,type1,type2,type_count,abilities,hidden_abilities,hp,hp_ratio,attack,attack_ratio,defense,defense_ratio,sp_attack,sp_attack_ratio,sp_defense,sp_defense_ratio,speed,speed_ratio,base_stat_total,dominant_stat,offense,bulk,speed_tier,stat_variance,stat_variance_quantile,stat_specialization,bst_percentile_gen,bst_gen_class,bst_percentile_all,bst_all_class,weakness_count,resistance_count,immunity_count,typing_defense_score,typing_defense_class,battle_archetypes,combat_profile,height_m,weight_kg,mass_index,mass_index_class,is_genderless,female_ratio,pokemon_class,base_experience,moves_count,capture_rate,base_happiness,hatch_counter,egg_groups,growth_rate,shape,color,genus,flavor_text,evolution_line,evolution_chain_length,evolution_stage,is_final_evolution,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
252,treecko,treecko,3,grass,,1,overgrow,unburden,40,0.13,45,0.15,35,0.11,65,0.21,55,0.18,70,0.23,310,speed,110,130,average,163.89,2,balanced,0.24,lower_mid_tier,0.24,lower_mid_tier,5,4,0,-3.0,frail,fragile,frail-fragile,0.5,5.0,20.0,light,0,0.125,normal,62.0,98,45,70,20,"monster, dragon",medium-slow,upright,green,Wood Gecko Pokémon,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail.,treecko --> grovyle --> sceptile,3,1,0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
253,grovyle,grovyle,3,grass,,1,overgrow,unburden,50,0.12,65,0.16,45,0.11,85,0.21,65,0.16,95,0.23,405,speed,150,160,average,314.58,3,slightly_specialized,0.39,lower_mid_tier,0.39,lower_mid_tier,5,4,0,-3.0,frail,midrange,frail-midrange,0.9,21.6,26.67,average,0,0.125,normal,142.0,100,45,70,20,"monster, dragon",medium-slow,upright,green,Wood Gecko Pokémon,The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest. This POKéMON is a master at climbing trees in jungles.,treecko --> grovyle --> sceptile,3,2,0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
254,sceptile,sceptile,3,grass,,1,overgrow,unburden,70,0.13,85,0.16,65,0.12,105,0.2,85,0.16,120,0.23,530,speed,190,220,fast,363.89,3,slightly_specialized,0.76,upper_mid_tier,0.76,upper_mid_tier,5,4,0,-3.0,frail,sweeper,frail-sweeper,1.7,52.2,18.06,light,0,0.125,normal,239.0,121,45,70,20,"monster, dragon",medium-slow,upright,green,Forest Pokémon,The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.,treecko --> grovyle --> sceptile,3,3,1,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
254,sceptile,sceptile-mega,3,grass,dragon,2,lightning-rod,,70,0.11,110,0.17,75,0.12,145,0.23,85,0.13,145,0.23,630,sp_attack,255,230,fast,958.33,5,highly_specialized,0.92,top_tier,0.92,top_tier,6,4,0,-4.0,frail,sweeper,frail-sweeper,1.9,55.2,15.29,very_light,0,0.125,normal,284.0,80,45,70,20,"monster, dragon",medium-slow,upright,green,Forest Pokémon,The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.,treecko --> grovyle --> sceptile,3,3,1,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
255,torchic,torchic,3,fire,,1,blaze,speed-boost,45,0.15,60,0.19,40,0.13,70,0.23,50,0.16,45,0.15,310,sp_attack,130,135,slow,105.56,1,balanced,0.24,lower_mid_tier,0.24,lower_mid_tier,3,6,0,0.0,neutral,weak_slow,neutral-weak_slow,0.4,2.5,15.62,light,0,0.125,normal,62.0,82,45,70,20,ground,medium-slow,legs,red,Chick Pokémon,"TORCHIC sticks with its TRAINER, following behind with unsteady steps. This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black.",torchic --> combusken --> blaziken,3,1,0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
256,combusken,combusken,3,fire,fighting,2,blaze,speed-boost,60,0.15,85,0.21,60,0.15,85,0.21,60,0.15,55,0.14,405,attack,170,180,slow,156.25,2,balanced,0.39,lower_mid_tier,0.39,lower_mid_tier,4,6,0,-1.0,exposed,midrange,exposed-midrange,0.9,19.5,24.07,average,0,0.125,normal,142.0,101,45,70,20,ground,medium-slow,upright,red,Young Fowl Pokémon,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains. This POKéMON’s legs possess both speed and power, enabling it to dole out ten kicks in one second.",torchic --> combusken --> blaziken,3,2,0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
257,blaziken,blaziken,3,fire,fighting,2,blaze,speed-boost,80,0.15,120,0.23,70,0.13,110,0.21,70,0.13,80,0.15,530,attack,230,220,average,380.56,3,slightly_specialized,0.76,upper_mid_tier,0.76,upper_mid_tier,4,6,0,-1.0,exposed,sweeper,exposed-sweeper,1.9,52.0,14.4,very_light,0,0.125,normal,239.0,122,45,70,20,ground,medium-slow,upright,red,Blaze Pokémon,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn.",torchic --> combusken --> blaziken,3,3,1,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
257,blaziken,blaziken-mega,3,fire,fighting,2,speed-boost,,80,0.13,160,0.25,80,0.13,130,0.21,80,0.13,100,0.16,630,attack,290,240,fast,925.0,5,highly_specialized,0.92,top_tier,0.92,top_tier,4,6,0,-1.0,exposed,juggernaut,exposed-juggernaut,1.9,52.0,14.4,very_light,0,0.125,normal,284.0,80,45,70,20,ground,medium-slow,upright,red,Blaze Pokémon,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn.",torchic --> combusken --> blaziken,3,3,1,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
258,mudkip,mudkip,3,water,,1,torrent,damp,50,0.16,70,0.23,50,0.16,50,0.16,50,0.16,40,0.13,310,attack,120,150,slow,80.56,1,balanced,0.24,lower_mid_tier,0.24,lower_mid_tier,2,4,0,0.0,neutral,weak_slow,neutral-weak_slow,0.4,7.6,47.5,heavy,0,0.125,normal,62.0,85,45,70,20,"monster, water1",medium-slow,quadruped,blue,Mud Fish Pokémon,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this POKéMON can determine what is taking place around it without using its eyes.",mudkip --> marshtomp --> swampert,3,1,0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
259,marshtomp,marshtomp,3,water,ground,2,torrent,damp,70,0.17,85,0.21,70,0.17,60,0.15,70,0.17,50,0.12,405,attack,145,210,slow,114.58,1,balanced,0.39,lower_mid_tier,0.39,lower_mid_tier,1,4,1,2.5,iron,slow_attacker,iron-slow_attacker,0.7,28.0,57.14,heavy,0,0.125,normal,142.0,96,45,70,20,"monster, water1",medium-slow,upright,blue,Mud Fish Pokémon,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land. This POKéMON plays in mud on beaches when the ocean tide is low.",mudkip --> marshtomp --> swampert,3,2,0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
