pokedex_id,species_name,name,generation,type1,type2,type_count,abilities,hidden_abilities,hp,hp_ratio,attack,attack_ratio,defense,defense_ratio,sp_attack,sp_attack_ratio,sp_defense,sp_defense_ratio,speed,speed_ratio,base_stat_total,dominant_stat,offense,bulk,speed_tier,stat_variance,stat_variance_quantile,stat_specialization,bst_percentile_gen,bst_gen_class,bst_percentile_all,bst_all_class,weakness_count,resistance_count,immunity_count,typing_defense_score,typing_defense_class,battle_archetypes,combat_profile,height_m,weight_kg,mass_index,mass_index_class,is_genderless,female_ratio,pokemon_class,base_experience,moves_count,capture_rate,base_happiness,hatch_counter,egg_groups,growth_rate,shape,color,genus,flavor_text,evolution_line,evolution_chain_length,evolution_stage,is_final_evolution,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
810,grookey,grookey,8,grass,,1,overgrow,grassy-surge,50,0.16,65,0.21,50,0.16,40,0.13,40,0.13,65,0.21,310,attack,105,140,average,105.56,1,balanced,0.11,bottom_tier,0.11,bottom_tier,5,4,0,-3.0,uniform,fragile,uniform-fragile,0.3,5.0,55.56,heavy,0,0.125,normal,62.0,58,45,50,20,"ground, plant",medium-slow,upright,green,Chimp Pokémon,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.",grookey --> thwackey --> rillaboom,3,1,0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
811,thwackey,thwackey,8,grass,,1,overgrow,grassy-surge,70,0.17,85,0.2,70,0.17,55,0.13,60,0.14,80,0.19,420,attack,140,200,average,108.33,1,balanced,0.18,bottom_tier,0.18,bottom_tier,5,4,0,-3.0,uniform,fragile,uniform-fragile,0.7,14.0,28.57,average,0,0.125,normal,147.0,60,45,50,20,"ground, plant",medium-slow,upright,green,Beat Pokémon,"The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.",grookey --> thwackey --> rillaboom,3,2,0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
812,rillaboom,rillaboom,8,grass,,1,overgrow,grassy-surge,100,0.19,125,0.24,90,0.17,60,0.11,70,0.13,85,0.16,530,attack,185,260,average,438.89,2,slightly_specialized,0.85,top_tier,0.85,top_tier,5,4,0,-3.0,uniform,sweeper,uniform-sweeper,2.1,90.0,20.41,average,0,0.125,normal,265.0,83,45,50,20,"ground, plant",medium-slow,humanoid,green,Drummer Pokémon,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.",grookey --> thwackey --> rillaboom,3,3,1,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
812,rillaboom,rillaboom-gmax,8,grass,,1,overgrow,grassy-surge,100,0.19,125,0.24,90,0.17,60,0.11,70,0.13,85,0.16,530,attack,185,260,average,438.89,2,slightly_specialized,0.85,top_tier,0.85,top_tier,5,4,0,-3.0,uniform,sweeper,uniform-sweeper,28.0,1000.0,1.28,very_light,0,0.125,normal,265.0,0,45,50,20,"ground, plant",medium-slow,humanoid,green,Drummer Pokémon,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.",grookey --> thwackey --> rillaboom,3,3,1,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
813,scorbunny,scorbunny,8,fire,,1,blaze,libero,50,0.16,71,0.23,40,0.13,40,0.13,40,0.13,69,0.22,310,attack,111,130,average,180.89,1,balanced,0.11,bottom_tier,0.11,bottom_tier,3,6,0,0.0,uniform,fragile,uniform-fragile,0.3,4.5,50.0,heavy,0,0.125,normal,62.0,56,45,50,20,"ground, humanshape",medium-slow,upright,white,Rabbit Pokémon,"A warm-up of running around gets fire energy coursing through this Pokémon’s body. Once that happens, it’s ready to fight at full power.",scorbunny --> raboot --> cinderace,3,1,0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
814,raboot,raboot,8,fire,,1,blaze,libero,65,0.15,86,0.2,60,0.14,55,0.13,60,0.14,94,0.22,420,speed,141,185,average,213.67,1,slightly_specialized,0.18,bottom_tier,0.18,bottom_tier,3,6,0,0.0,uniform,fragile,uniform-fragile,0.6,9.0,25.0,average,0,0.125,normal,147.0,59,45,50,20,"ground, humanshape",medium-slow,upright,gray,Rabbit Pokémon,Its thick and fluffy fur protects it from the cold and enables it to use hotter fire moves.,scorbunny --> raboot --> cinderace,3,2,0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
815,cinderace,cinderace,8,fire,,1,blaze,libero,80,0.15,116,0.22,75,0.14,65,0.12,75,0.14,119,0.22,530,speed,181,230,fast,445.89,2,slightly_specialized,0.85,top_tier,0.85,top_tier,3,6,0,0.0,uniform,sweeper,uniform-sweeper,1.4,33.0,16.84,average,0,0.125,normal,265.0,78,45,50,20,"ground, humanshape",medium-slow,upright,white,Striker Pokémon,"It juggles a pebble with its feet, turning it into a burning soccer ball. Its shots strike opponents hard and leave them scorched.",scorbunny --> raboot --> cinderace,3,3,1,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
815,cinderace,cinderace-gmax,8,fire,,1,blaze,libero,80,0.15,116,0.22,75,0.14,65,0.12,75,0.14,119,0.22,530,speed,181,230,fast,445.89,2,slightly_specialized,0.85,top_tier,0.85,top_tier,3,6,0,0.0,uniform,sweeper,uniform-sweeper,27.0,1000.0,1.37,very_light,0,0.125,normal,265.0,0,45,50,20,"ground, humanshape",medium-slow,upright,white,Striker Pokémon,"It juggles a pebble with its feet, turning it into a burning soccer ball. Its shots strike opponents hard and leave them scorched.",scorbunny --> raboot --> cinderace,3,3,1,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
816,sobble,sobble,8,water,,1,torrent,sniper,50,0.16,40,0.13,40,0.13,70,0.23,40,0.13,70,0.23,310,sp_attack,110,130,average,180.56,1,balanced,0.11,bottom_tier,0.11,bottom_tier,2,4,0,0.0,uniform,fragile,uniform-fragile,0.3,4.0,44.44,heavy,0,0.125,normal,62.0,46,45,50,20,"water1, ground",medium-slow,quadruped,blue,Water Lizard Pokémon,"When scared, this Pokémon cries. Its tears pack the chemical punch of 100 onions, and attackers won’t be able to resist weeping.",sobble --> drizzile --> inteleon,3,1,0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
817,drizzile,drizzile,8,water,,1,torrent,sniper,65,0.15,60,0.14,55,0.13,95,0.23,55,0.13,90,0.21,420,sp_attack,155,175,average,266.67,2,slightly_specialized,0.18,bottom_tier,0.18,bottom_tier,2,4,0,0.0,uniform,fragile,uniform-fragile,0.7,11.5,23.47,average,0,0.125,normal,147.0,47,45,50,20,"water1, ground",medium-slow,upright,blue,Water Lizard Pokémon,"A clever combatant, this Pokémon battles using water balloons created with moisture secreted from its palms.",sobble --> drizzile --> inteleon,3,2,0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
818,inteleon,inteleon,8,water,,1,torrent,sniper,70,0.13,85,0.16,65,0.12,125,0.24,65,0.12,120,0.23,530,sp_attack,210,200,fast,630.56,5,specialized,0.85,top_tier,0.85,top_tier,2,4,0,0.0,uniform,sweeper,uniform-sweeper,1.9,45.2,12.52,light,0,0.125,normal,265.0,74,45,50,20,"water1, ground",medium-slow,upright,blue,Secret Agent Pokémon,"It has many hidden capabilities, such as fingertips that can shoot water and a membrane on its back that it can use to glide through the air.",sobble --> drizzile --> inteleon,3,3,1,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
818,inteleon,inteleon-gmax,8,water,,1,torrent,sniper,70,0.13,85,0.16,65,0.12,125,0.24,65,0.12,120,0.23,530,sp_attack,210,200,fast,630.56,5,specialized,0.85,top_tier,0.85,top_tier,2,4,0,0.0,uniform,sweeper,uniform-sweeper,40.0,1000.0,0.62,very_light,0,0.125,normal,265.0,0,45,50,20,"water1, ground",medium-slow,upright,blue,Secret Agent Pokémon,"It has many hidden capabilities, such as fingertips that can shoot water and a membrane on its back that it can use to glide through the air.",sobble --> drizzile --> inteleon,3,3,1,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
